PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,Rose,86.408424,75.0,3.5120277
p1,1,Rose,80.512405,60.0,4.358425
p1,2,Rose,62.91529,40.0,4.5182385
p1,3,Bar,99.17264,100.0,-0.27340928
p1,4,Bar,83.40178,80.0,1.7662895
p1,5,Pie,83.375916,100.0,4.055203
p1,6,Bar,43.515167,40.0,1.8135934
p1,7,Pie,29.376354,100.0,6.142079
p1,8,Pie,8.996502,100.0,6.50785
