PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p1,0,dash,7.696631,2.0,2.510109
p1,1,bold,56.453453,40.0,4.0403185
p1,2,bold,38.12932,30.0,3.0231345
p1,3,dash,1.0425663,3.0,0.9689634
p1,4,dash,31.173521,10.0,4.404189
p1,5,animate,51.122864,35.0,4.011036
p1,6,animate,94.93611,96.0,0.08934703
p1,7,bold,15.215576,5.0,3.3526986
p1,8,animate,47.98469,40.0,2.9972365
